label,n_before,n_deduped,n_after,div_before,div_after,kept_pct
ovos-skill-weather.openvoiceos:is_wind,24,24,24,0.8873,0.8873,100.0
ovos-skill-weather.openvoiceos:weekend_forecast,24,24,24,0.8806,0.8806,100.0
ovos-skill-alerts.openvoiceos:DAVSync,24,24,24,0.9616,0.9616,100.0
ovos-skill-fuster-quotes.openvoiceos:who.intent,24,24,24,0.7322,0.7322,100.0
ovos-skill-weather.openvoiceos:current_weather,22,22,22,0.8427,0.8427,100.0
ovos-skill-weather.openvoiceos:hourly_forecast,20,20,20,0.898,0.898,100.0
ovos-skill-ddg.openvoiceos:children.intent,20,20,20,0.8821,0.8821,100.0
ovos-skill-randomness.openvoiceos:pick-a-number.intent,20,20,20,0.6983,0.6983,100.0
ovos-skill-weather.openvoiceos:daily_forecast,20,20,20,0.872,0.872,100.0
ovos-skill-randomness.openvoiceos:make-a-choice.intent,19,19,19,0.9336,0.9336,100.0
ovos-skill-weather.openvoiceos:next_rain,19,19,19,0.886,0.886,100.0
ovos-skill-weather.openvoiceos:is_stormy,19,19,19,0.8988,0.8988,100.0
ovos-skill-ddg.openvoiceos:known_for.intent,18,18,18,0.8941,0.8941,100.0
ovos-skill-ddg.openvoiceos:resting_place.intent,18,18,18,0.8812,0.8812,100.0
ovos-skill-weather.openvoiceos:is_fog,18,18,18,0.8811,0.8811,100.0
ovos-skill-weather.openvoiceos:low_temperature,17,17,17,0.858,0.858,100.0
ovos-skill-weather.openvoiceos:humidity,17,17,17,0.8804,0.8804,100.0
ovos-skill-weather.openvoiceos:is_snow,17,17,17,0.8562,0.8562,100.0
ovos-skill-weather.openvoiceos:high_temperature,16,16,16,0.838,0.838,100.0
ovos-skill-color-picker.krisgesling:request-color-by-hex.intent,12,10,10,0.8164,0.8468,83.3
ovos-skill-speedtest.openvoiceos:SpeedtestIntent,12,12,12,0.841,0.841,100.0
ovos-skill-ddg.openvoiceos:who.intent,11,11,11,0.813,0.813,100.0
ovos-skill-weather.openvoiceos:do.i.need.an.umbrella.intent,11,11,11,0.9346,0.9346,100.0
ovos-skill-ddg.openvoiceos:official_website.intent,10,10,10,0.8805,0.8805,100.0
ovos-skill-color-picker.krisgesling:request-color-by-rgb.intent,9,7,7,0.8056,0.8885,77.8
ovos-skill-color-picker.krisgesling:request-color.intent,9,7,7,0.8335,0.8812,77.8
ovos-skill-ddg.openvoiceos:fields.intent,8,8,8,0.8926,0.8926,100.0
ovos-skill-ddg.openvoiceos:thesis.intent,8,8,8,0.9183,0.9183,100.0
ovos-skill-ddg.openvoiceos:alma_mater.intent,8,8,8,0.811,0.811,100.0
ovos-skill-volume.openvoiceos:volume.mute,7,7,7,0.9532,0.9532,100.0
ovos-skill-parrot.openvoiceos:stop,5,5,5,0.9833,0.9833,100.0
ovos-skill-hello-world.openvoiceos:HelloWorldIntent,3,3,3,0.8889,0.8889,100.0
ovos-skill-date-time.openvoiceos:what.date.is.it.intent,3,3,3,0.7778,0.7778,100.0
ovos-skill-date-time.openvoiceos:handle_query_relative_date,3,3,3,0.631,0.631,100.0
ovos-skill-date-time.openvoiceos:handle_weekday,3,3,3,0.7074,0.7074,100.0
ovos-skill-weather.openvoiceos:daily_temperature.intent,2,2,2,1.0,1.0,100.0
ovos-skill-weather.openvoiceos:daily_weather.intent,2,2,2,0.9231,0.9231,100.0
ovos-skill-personal.OpenVoiceOS.openvoiceos:WhereWereYouBorn.intent,1,1,1,0.0,0.0,100.0
ovos-skill-personal.OpenVoiceOS.openvoiceos:WhatAreYou.intent,1,1,1,0.0,0.0,100.0
ovos-skill-personal.OpenVoiceOS.openvoiceos:WhoMadeYou.intent,1,1,1,0.0,0.0,100.0
ovos-skill-personal.OpenVoiceOS.openvoiceos:WhenWereYouBorn.intent,1,1,1,0.0,0.0,100.0
ovos-skill-date-time.openvoiceos:handle_query_date_simple,1,1,1,0.0,0.0,100.0
ovos-skill-ddg.openvoiceos:search_wolfie.intent,1,1,1,0.0,0.0,100.0
ovos-skill-diagnostics.openvoiceos:no_secondary_langs.intent,1,1,1,0.0,0.0,100.0
ovos-skill-date-time.openvoiceos:sunset.intent,1,1,1,0.0,0.0,100.0
ovos-skill-weather.openvoiceos:hourly_weather.intent,1,1,1,0.0,0.0,100.0
